Text 1,Text 2,Link Count
Jastrow,Jastrow,56060
Klein Dictionary,Klein Dictionary,45937
Machatzit HaShekel on Orach Chayim,"Shulchan Arukh, Orach Chayim",12545
BDB,Psalms,12295
BDB,Isaiah,10329
BDB,Genesis,10153
Peri Megadim on Orach Chayim,"Shulchan Arukh, Orach Chayim",9639
BDB,Jeremiah,8414
BDB,Ezekiel,7521
BDB,Exodus,6853
BDB,Numbers,5922
BDB,Deuteronomy,5754
BDB,Job,5598
Bereshit Rabbah,Jastrow,5234
BDB,I Samuel,5222
BDB,I Chronicles,5055
BDB,I Kings,4766
BDB,Proverbs,4668
BDB,II Chronicles,4647
BDB,Leviticus,4570
BDB,BDB,4268
BDB,II Samuel,4205
BDB,II Kings,4182
BDB,Judges,4023
BDB,Joshua,3869
Jastrow,Shabbat,3740
Sefer Mitzvot Gadol,Tur,3724
Leviticus,Sifra,3580
Peri Megadim on Yoreh De'ah,"Shulchan Arukh, Yoreh De'ah",3404
Bereshit Rabbah,Genesis,2973
Daf Shevui to Ketubot,Ketubot,2835
Isaiah,Sefer HaShorashim,2699
Agra DeKala,Genesis,2681
"Kaf HaChayim on Shulchan Arukh, Orach Chayim","Shulchan Arukh, Orach Chayim",2680
BDB Aramaic,Daniel,2651
Berakhot,Jastrow,2644
Exodus,Notes by Rabbi Yehoshua Hartman on Gevurot Hashem,2580
BDB,Nehemiah,2510
Jastrow,Sanhedrin,2441
Bamidbar Rabbah,Jastrow,2427
Shulchan Arukh HaRav,"Shulchan Arukh, Orach Chayim",2403
Genesis,Yalkut Shimoni on Torah,2399
Psalms,Sefer HaShorashim,2386
Exodus,Yalkut Shimoni on Torah,2337
Jastrow,Yalkut Shimoni on Torah,2315
Psalms,Zohar,2300
Deuteronomy,Yalkut Shimoni on Torah,2293
Sefer Mitzvot Gadol,"Shulchan Arukh, Choshen Mishpat",2291
Jastrow,Yalkut Shimoni on Nach,2284
Genesis,Zohar,2274
Chullin,Jastrow,2231
Jastrow,Vayikra Rabbah,2226
Genesis,Notes by Rabbi Yehoshua Hartman on Gevurot Hashem,2223
Sifra,Sifra,2110
Genesis,Shenei Luchot HaBerit,2050
Bava Batra,Jastrow,2035
Psalms,Siddur Sefard,1981
Midrash Tehillim,Psalms,1906
Aramaic Targum to Psalms,Jastrow,1902
Genesis,Sefer HaShorashim,1869
Sefer Mitzvot Gadol,"Shulchan Arukh, Yoreh De'ah",1869
Leviticus,Yalkut Shimoni on Torah,1862
Bava Metzia,Jastrow,1860
Jastrow,Pesachim,1833
David Zvi Hoffmann on Leviticus,Leviticus,1806
Genesis,Midrash Tanchuma Buber,1783
Genesis,Midrash Aggadah,1767
Genesis,Yismach Moshe,1745
Numbers,Yalkut Shimoni on Torah,1732
Magen Avraham,"Shulchan Arukh, Orach Chayim",1709
Sefer Mitzvot Gadol,"Shulchan Arukh, Orach Chayim",1657
Exodus,Shenei Luchot HaBerit,1599
Isaiah,Zohar,1591
Psalms,Shenei Luchot HaBerit,1591
Exodus,Zohar,1584
Bava Batra,Tur,1556
Job,Sefer HaShorashim,1539
Psalms,Sources and References on Likkutei Torah,1534
Jastrow,Yoma,1516
Jastrow,Shemot Rabbah,1507
Bava Metzia,Tur,1484
Bava Kamma,Sefer Mitzvot Gadol,1460
Deuteronomy,Shenei Luchot HaBerit,1458
BDB,Hosea,1454
BDB,Ecclesiastes,1454
Genesis,Midrash Tanchuma,1446
Sefer HeArukh,Shabbat,1428
Genesis,Tzror HaMor on Torah,1413
"Eliyah Rabbah on Shulchan Arukh, Orach Chayim","Shulchan Arukh, Orach Chayim",1410
Exodus,Shemot Rabbah,1408
Jastrow,Ketubot,1400
Bamidbar Rabbah,Numbers,1393
Avodah Zarah,Jastrow,1390
Jeremiah,Sefer HaShorashim,1381
Psalms,Rabbeinu Bahya,1379
Bava Batra,"Shulchan Arukh, Choshen Mishpat",1378
Exodus,Yismach Moshe,1377
Bava Batra,Sefer Mitzvot Gadol,1363
Ezekiel,Sefer HaShorashim,1359
Machberet Menachem,Psalms,1356
Arukh HaShulchan,"Shulchan Arukh, Yoreh De'ah",1343
Bava Kamma,Jastrow,1343
Exodus,Midrash Tanchuma,1340
Aramaic Targum to Proverbs,Jastrow,1337
Bava Metzia,Sefer Mitzvot Gadol,1322
Gittin,Jastrow,1321
Genesis,Rabbeinu Bahya,1315
Isaiah,Machberet Menachem,1312
Bava Metzia,"Shulchan Arukh, Choshen Mishpat",1309
Exodus,Sefer HaShorashim,1308
Exodus,Rabbeinu Bahya,1291
Jastrow,Shir HaShirim Rabbah,1282
BDB,Daniel,1273
Deuteronomy,Notes by Rabbi Yehoshua Hartman on Gevurot Hashem,1271
Numbers,Rabbeinu Bahya,1269
Otzar Midrashim,Otzar Midrashim,1264
Jastrow,Onkelos Genesis,1245
BDB,Ezra,1243
Daf Shevui to Sukkah,Sukkah,1229
Ketubot,Tur,1221
BDB,Esther,1219
Bava Kamma,Tur,1205
BDB,Zechariah,1201
Psalms,Yalkut Shimoni on Torah,1200
Aramaic Targum to Job,Jastrow,1198
Sefer HaChinukh,Sefer Mitzvot Gadol,1192
Eikhah Rabbah,Jastrow,1191
Sefer Mitzvot Gadol,"Shulchan Arukh, Even HaEzer",1167
Notes by Rabbi Yehoshua Hartman on Gevurot Hashem,Psalms,1155
Amos,BDB,1152
Jastrow,Targum Jonathan on Isaiah,1151
"Mishneh Torah, Sabbath",Shabbat,1148
Bava Kamma,"Shulchan Arukh, Choshen Mishpat",1134
Megalleh Amukkot on Torah,Psalms,1131
Psalms,Yismach Moshe,1127
Shabbat,Tur,1126
"Mishneh Torah, Sabbath","Shulchan Arukh, Orach Chayim",1107
Likutei Moharan,Psalms,1101
Psalms,Siddur Edot HaMizrach,1078
Shabbat,"Shulchan Arukh, Orach Chayim",1076
Sefer Mitzvot Gadol,Shabbat,1057
Eruvin,Jastrow,1056
Jastrow,Midrash Tehillim,1056
Genesis,Notes by Rabbi Yehoshua Hartman on Derekh Chayim,1051
Midrash Tanchuma Buber,Numbers,1050
Akeidat Yitzchak,Psalms,1048
Exodus,Midrash Tanchuma Buber,1048
Jastrow,Yevamot,1043
Exodus,Mekhilta DeRabbi Yishmael,1029
Deuteronomy,Zohar,1019
Tur,Tur,1015
Proverbs,Sefer HaShorashim,1009
Isaiah,Mashmia Yeshuah,1003
Psalms,Siddur Ashkenaz,998
Midrash Aggadah,Numbers,991
Jastrow,Kiddushin,990
Genesis,Jastrow,985
Psalms,Reshit Chokhmah,985
Deuteronomy,Sefer HaShorashim,978
Berakhot,Peri Tzadik,963
"Ba'er Hetev on Shulchan Arukh, Choshen Mishpat","Shulchan Arukh, Choshen Mishpat",953
Exodus,Midrash Aggadah,948
Midrash Tanchuma,Psalms,941
Midrash Tanchuma,Numbers,941
BDB,Song of Songs,932
Chullin,Tur,932
Ketubot,Sefer Mitzvot Gadol,931
Ohel Ya'akov on Torah,Psalms,925
Chullin,"Shulchan Arukh, Yoreh De'ah",914
BDB,Lamentations,913
Jastrow,Kohelet Rabbah,910
Deuteronomy,Yismach Moshe,903
Mishnah Berurah,"Shulchan Arukh, Orach Chayim",898
Deuteronomy,Rabbeinu Bahya,897
Tur,Yevamot,895
"Mishneh Torah, Marriage","Shulchan Arukh, Even HaEzer",892
Gittin,Tur,890
Gittin,Sefer Mitzvot Gadol,882
BDB Aramaic,Ezra,880
Agra DeKala,Exodus,878
Jastrow,Targum Jonathan on Genesis,875
Daf Shevui to Megillah,Megillah,873
Jastrow,Onkelos Exodus,872
Job,Machberet Menachem,870
Genesis,Machberet Menachem,868
Peri Tzadik,Shabbat,868
"Shulchan Arukh, Choshen Mishpat","Shulchan Arukh, Choshen Mishpat",868
Isaiah,Shenei Luchot HaBerit,854
Exodus,Ramban on Exodus,852
Berakhot,Tur,849
Genesis,Ramban on Genesis,846
Jastrow,Megillah,843
Deuteronomy,Notes by Rabbi Yehoshua Hartman on Derekh Chayim,842
A Dictionary of the Talmud,Shabbat,840
Beit Yosef,Ketubot,833
Leviticus,Zevachim,827
Arukh HaShulchan,"Shulchan Arukh, Choshen Mishpat",824
Berakhot,"Shulchan Arukh, Orach Chayim",822
Genesis,Otzar Midrashim,820
Isaiah,Sources and References on Likkutei Torah,818
Jastrow,Menachot,817
Jastrow,Niddah,816
BDB,Micah,815
Jastrow,Mishnah Kelim,811
Biur Halacha,"Shulchan Arukh, Orach Chayim",804
Akeidat Yitzchak,Genesis,797
Exodus,Otzar Midrashim,796
Chullin,Sefer Mitzvot Gadol,794
Proverbs,Zohar,794
Haflaah on Ketubot,Ketubot,793
Jastrow,Sotah,790
Akeidat Yitzchak,Deuteronomy,786
Leviticus,Sefer HaShorashim,782
"Shulchan Arukh, Orach Chayim","Shulchan Arukh, Orach Chayim",780
Isaiah,Rabbeinu Bahya,778
Arukh HaShulchan,"Shulchan Arukh, Orach Chayim",777
Exodus,Jastrow,776
Ketubot,"Shulchan Arukh, Even HaEzer",776
Isaiah,Yalkut Shimoni on Torah,775
Cassuto on Genesis,Genesis,774
Numbers,Sefer HaShorashim,774
Leviticus,Shenei Luchot HaBerit,773
Jastrow,Pesikta Rabbati,771
A Dictionary of the Talmud,Bereshit Rabbah,770
Haflaah on Ketubot,Tosafot on Ketubot,769
Sefer Mitzvot Gadol,Yevamot,769
Eruvin,Tur,768
Numbers,Sifrei Zuta,767
Beit Yosef,Shabbat,766
Exodus,Machberet Menachem,765
Chullin,Sefer HeArukh,762
Akeidat Yitzchak,Exodus,759
"Shulchan Arukh, Even HaEzer",Yevamot,756
Deuteronomy,Sources and References on Likkutei Torah,752
Be'er Mayim Chaim,Bereshit Rabbah,750
Numbers,Shenei Luchot HaBerit,749
Deuteronomy,Midrash Tanchuma,746
Bereshit Rabbati,Genesis,745
Exodus,Gevurot Hashem,743
Jastrow,Taanit,743
Genesis,The Torah; A Women's Commentary,740
Sefer HaChinukh,Sefer HaMitzvot,740
Bava Batra,Beit Yosef,738
Exodus,Notes by Rabbi Yehoshua Hartman on Derekh Chayim,737
Likutei Halakhot,Psalms,736
Mishnat Eretz Yisrael on Mishnah Shabbat,Shabbat,736
Midrash Tanchuma Buber,Psalms,732
"Mishneh Torah, Sabbath",Tur,732
Deuteronomy,Jastrow,731
I Samuel,Sefer HaShorashim,731
